Input,Pred,Gold
"Determine whether the sentence As of that day, the new constitution heralding the Second Republic came into force. contains the information required to answer the question What came into force after the new constitution was herald?
[LABELS_CHOICE]",0,0
"Determine whether the sentence The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz. contains the information required to answer the question What is the first major city in the stream of the Rhine?
[LABELS_CHOICE]",0,1
"Determine whether the sentence In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher. contains the information required to answer the question What is the minimum required if you want to teach in Canada?
[LABELS_CHOICE]",0,1
"Determine whether the sentence The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed] contains the information required to answer the question How was Temüjin kept imprisoned by the Tayichi'ud?
[LABELS_CHOICE]",0,0
"Determine whether the sentence He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody. contains the information required to answer the question What did Herr Gott, dich loben wir become known as ?
[LABELS_CHOICE]",0,1
"Determine whether the sentence For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die."" contains the information required to answer the question What year did the the case go before the supreme court?
[LABELS_CHOICE]",0,1
"Determine whether the sentence Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States. contains the information required to answer the question What does UMC stand for?
[LABELS_CHOICE]",0,1
"Determine whether the sentence Southern California is also important to the world of yachting. contains the information required to answer the question What is the name of the professional skateboarder that lives in southern California?
[LABELS_CHOICE]",0,1
"Determine whether the sentence Temüjin's reputation also became widespread after his escape from the Tayichi'ud. contains the information required to answer the question Where did Temüjin hide during his escape from the Tayichi'ud?
[LABELS_CHOICE]",0,1
"Determine whether the sentence These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores. contains the information required to answer the question What are the most active parts of ctenophora?
[LABELS_CHOICE]",0,0
"Determine whether the sentence Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law."" contains the information required to answer the question Who decides the fate of protesters most of the time?
[LABELS_CHOICE]",0,1
"Determine whether the sentence The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence. contains the information required to answer the question What act sets forth the functions of the Scottish Parliament?
[LABELS_CHOICE]",0,0
